seed,model,routing,G,top_k,tau,split,mean_entropy,std_entropy,normalized_entropy,expert_usage_1,expert_usage_2,expert_usage_3,expert_usage_4,usage_cv,accuracy,macro_f1
42,moe,learned,4,2,0.3,test,0.057879297659109534,0.15074710474172404,0.08350217570293351,0.5052631578947369,0.5052631578947369,0.5824561403508772,0.4070175438596491,0.1244996140295451,0.8280701754385965,0.7980976696324302
43,moe,learned,4,2,0.3,test,0.0375925946750489,0.13501841211203983,0.0542346499118419,0.4807017543859649,0.4421052631578947,0.5263157894736842,0.5508771929824562,0.08369726625878293,0.8210526315789474,0.7900824635474758
44,moe,learned,4,2,0.3,test,0.03813597658612236,0.12380355583403169,0.05501858430025635,0.5017543859649123,0.6105263157894737,0.3684210526315789,0.519298245614035,0.172929424987391,0.8350877192982457,0.8018479642040492
45,moe,learned,4,2,0.3,test,0.04040975634533748,0.12486746026706391,0.0582989550829497,0.5017543859649123,0.3824561403508772,0.6070175438596491,0.5087719298245614,0.1592147551514165,0.8385964912280702,0.7963140402172264
46,moe,learned,4,2,0.3,test,0.04010647921806608,0.12767423843446637,0.057861418675420204,0.5649122807017544,0.47719298245614034,0.3824561403508772,0.5754385964912281,0.15569619461286868,0.8491228070175438,0.8077976300746621
42,moe,learned,4,2,0.5,test,0.07303289323305155,0.1743781772942553,0.10536419288909661,0.5157894736842106,0.49473684210526314,0.543859649122807,0.4456140350877193,0.07182277014196045,0.8456140350877193,0.8108085011560737
43,moe,learned,4,2,0.5,test,0.07698257387505857,0.16938227626552269,0.11106237756441527,0.5263157894736842,0.4456140350877193,0.4842105263157895,0.543859649122807,0.07631074796818087,0.8491228070175438,0.8170737505007168
44,moe,learned,4,2,0.5,test,0.05492299320583174,0.1492219349509635,0.07923712992883168,0.47719298245614034,0.5684210526315789,0.4631578947368421,0.49122807017543857,0.0814609597631151,0.8526315789473684,0.8168175824999379
45,moe,learned,4,2,0.5,test,0.08585509537154064,0.18420369176360646,0.12386272032757067,0.5157894736842106,0.5298245614035088,0.4421052631578947,0.512280701754386,0.0681280275050793,0.8631578947368421,0.8335475014298905
46,moe,learned,4,2,0.5,test,0.09944052539947616,0.18202169699342502,0.14346235285721728,0.47017543859649125,0.512280701754386,0.5228070175438596,0.49473684210526314,0.03985198839158085,0.8701754385964913,0.8398490768333584
42,moe,learned,4,2,0.7,test,0.16433314734018314,0.2373481859690916,0.23708261672135758,0.43508771929824563,0.4807017543859649,0.5017543859649123,0.5824561403508772,0.10671513211049509,0.8140350877192982,0.7841355666759868
43,moe,learned,4,2,0.7,test,0.18154242848767912,0.22793323385710695,0.26191036129011397,0.4631578947368421,0.6631578947368421,0.4807017543859649,0.3929824561403509,0.1995069329940982,0.7929824561403509,0.7500076673008299
44,moe,learned,4,2,0.7,test,0.17095670560999934,0.227869509955961,0.2466383913902605,0.49122807017543857,0.5684210526315789,0.39649122807017545,0.543859649122807,0.13189435880149125,0.8175438596491228,0.7803990609532306
45,moe,learned,4,2,0.7,test,0.14475075559320688,0.2181888700695,0.20883119725924995,0.5017543859649123,0.5333333333333333,0.45614035087719296,0.5087719298245614,0.05581043410732236,0.8175438596491228,0.7808501436151682
46,moe,learned,4,2,0.7,test,0.21322796440319125,0.24201104502119145,0.3076229268233324,0.47368421052631576,0.5052631578947369,0.41754385964912283,0.6035087719298246,0.1350307467010095,0.8245614035087719,0.7914514499558895
42,moe,learned,4,2,1.0,test,0.23611842098865676,0.2415708652760204,0.34064687502286767,0.48771929824561405,0.4842105263157895,0.5017543859649123,0.5263157894736842,0.033101688182654715,0.8631578947368421,0.825164229165902
43,moe,learned,4,2,1.0,test,0.2221155076191057,0.2428445487025695,0.32044494134661855,0.5684210526315789,0.47017543859649125,0.45964912280701753,0.5017543859649123,0.08486587103472157,0.8421052631578947,0.8131112957831163
44,moe,learned,4,2,1.0,test,0.23482165035959696,0.2488416242032467,0.3387760304671526,0.4631578947368421,0.49473684210526314,0.5052631578947369,0.5368421052631579,0.05263157894736843,0.8491228070175438,0.8102706783076389
45,moe,learned,4,2,1.0,test,0.23070129109840135,0.24355918619018516,0.3328316085943448,0.4280701754385965,0.519298245614035,0.5929824561403508,0.45964912280701753,0.12577858476445555,0.8385964912280702,0.8086408618651793
46,moe,learned,4,2,1.0,test,0.30502035289230806,0.24813544665019055,0.4400513504879344,0.45964912280701753,0.5298245614035088,0.519298245614035,0.49122807017543857,0.054470788407929904,0.7964912280701755,0.7501309361826993
